"time","bed_id","sensor_code","value","quality"
2026-09-05 18:25:16.968 +0900,bed-01,BREATH,19.0,100
2026-09-05 18:25:16.968 +0900,bed-01,HEART,71.0,100
2026-09-05 18:25:16.968 +0900,bed-01,PIR,0.0,100
2026-09-05 18:25:16.968 +0900,bed-01,ACCEL_X,1240.0,100
2026-09-05 18:25:16.968 +0900,bed-01,ACCEL_Y,1072.0,100
2026-09-05 18:25:16.968 +0900,bed-01,ACCEL_Z,12292.0,100
2026-09-05 18:25:15.985 +0900,bed-01,FSR0,1021.0,100
2026-09-05 18:25:15.985 +0900,bed-01,FSR1,1014.0,100
2026-09-05 18:25:15.985 +0900,bed-01,FSR2,1011.0,100
2026-09-05 18:25:15.985 +0900,bed-01,FSR3,1031.0,100
2026-09-05 18:25:15.985 +0900,bed-01,DIST,0.0,100
2026-09-05 18:25:15.985 +0900,bed-01,SW420,0.0,100
2026-09-05 18:25:15.985 +0900,bed-01,BREATH,19.0,100
2026-09-05 18:25:15.985 +0900,bed-01,HEART,71.0,100
2026-09-05 18:25:15.985 +0900,bed-01,PIR,0.0,100
2026-09-05 18:25:15.985 +0900,bed-01,ACCEL_X,1256.0,100
2026-09-05 18:25:15.985 +0900,bed-01,ACCEL_Y,-260.0,100
2026-09-05 18:25:15.985 +0900,bed-01,ACCEL_Z,17916.0,100
2026-09-05 18:25:14.945 +0900,bed-01,FSR0,998.0,100
2026-09-05 18:25:14.945 +0900,bed-01,FSR1,997.0,100
2026-09-05 18:25:14.945 +0900,bed-01,FSR2,991.0,100
2026-09-05 18:25:14.945 +0900,bed-01,FSR3,1013.0,100
2026-09-05 18:25:14.945 +0900,bed-01,DIST,0.0,100
2026-09-05 18:25:14.945 +0900,bed-01,SW420,0.0,100
2026-09-05 18:25:14.945 +0900,bed-01,BREATH,19.0,100
2026-09-05 18:25:14.945 +0900,bed-01,HEART,71.0,100
2026-09-05 18:25:14.945 +0900,bed-01,PIR,0.0,100
2026-09-05 18:25:14.945 +0900,bed-01,ACCEL_X,1096.0,100
2026-09-05 18:25:14.945 +0900,bed-01,ACCEL_Y,-588.0,100
2026-09-05 18:25:14.945 +0900,bed-01,ACCEL_Z,18044.0,100
2026-09-05 18:25:13.940 +0900,bed-01,FSR0,1022.0,100
2026-09-05 18:25:13.940 +0900,bed-01,FSR1,1019.0,100
2026-09-05 18:25:13.940 +0900,bed-01,FSR2,983.0,100
2026-09-05 18:25:13.940 +0900,bed-01,FSR3,979.0,100
2026-09-05 18:25:13.940 +0900,bed-01,DIST,0.0,100
2026-09-05 18:25:13.940 +0900,bed-01,SW420,0.0,100
2026-09-05 18:25:13.940 +0900,bed-01,BREATH,19.0,100
2026-09-05 18:25:13.940 +0900,bed-01,HEART,71.0,100
2026-09-05 18:25:13.940 +0900,bed-01,PIR,1.0,100
2026-09-05 18:25:13.940 +0900,bed-01,ACCEL_X,1256.0,100
2026-09-05 18:25:13.940 +0900,bed-01,ACCEL_Y,-616.0,100
2026-09-05 18:25:13.940 +0900,bed-01,ACCEL_Z,18068.0,100
2026-09-05 18:25:12.938 +0900,bed-01,FSR0,1031.0,100
2026-09-05 18:25:12.938 +0900,bed-01,FSR1,988.0,100
2026-09-05 18:25:12.938 +0900,bed-01,FSR2,938.0,100
2026-09-05 18:25:12.938 +0900,bed-01,FSR3,1007.0,100
2026-09-05 18:25:12.938 +0900,bed-01,DIST,0.0,100
2026-09-05 18:25:12.938 +0900,bed-01,SW420,0.0,100
2026-09-05 18:25:12.938 +0900,bed-01,BREATH,19.0,100
2026-09-05 18:25:12.938 +0900,bed-01,HEART,71.0,100
2026-09-05 18:25:12.938 +0900,bed-01,PIR,0.0,100
2026-09-05 18:25:12.938 +0900,bed-01,ACCEL_X,1312.0,100
2026-09-05 18:25:12.938 +0900,bed-01,ACCEL_Y,-704.0,100
2026-09-05 18:25:12.938 +0900,bed-01,ACCEL_Z,18176.0,100
2026-09-05 18:25:12.183 +0900,bed-01,FSR0,1567.0,100
2026-09-05 18:25:12.183 +0900,bed-01,FSR1,1438.0,100
2026-09-05 18:25:12.183 +0900,bed-01,FSR2,1498.0,100
2026-09-05 18:25:12.183 +0900,bed-01,FSR3,1561.0,100
2026-09-05 18:25:12.183 +0900,bed-01,DIST,0.0,100
2026-09-05 18:25:12.183 +0900,bed-01,SW420,0.0,100
2026-09-05 18:25:12.183 +0900,bed-01,BREATH,19.0,100
2026-09-05 18:25:12.183 +0900,bed-01,HEART,71.0,100
2026-09-05 18:25:12.183 +0900,bed-01,PIR,0.0,100
2026-09-05 18:25:12.183 +0900,bed-01,ACCEL_X,1184.0,100
2026-09-05 18:25:12.183 +0900,bed-01,ACCEL_Y,-340.0,100
2026-09-05 18:25:12.183 +0900,bed-01,ACCEL_Z,16868.0,100
2026-09-05 18:25:10.925 +0900,bed-01,FSR0,1045.0,100
2026-09-05 18:25:10.925 +0900,bed-01,FSR1,1003.0,100
2026-09-05 18:25:10.925 +0900,bed-01,FSR2,991.0,100
2026-09-05 18:25:10.925 +0900,bed-01,FSR3,1007.0,100
2026-09-05 18:25:10.925 +0900,bed-01,DIST,0.0,100
2026-09-05 18:25:10.925 +0900,bed-01,SW420,0.0,100
2026-09-05 18:25:10.925 +0900,bed-01,BREATH,19.0,100
2026-09-05 18:25:10.925 +0900,bed-01,HEART,71.0,100
2026-09-05 18:25:10.925 +0900,bed-01,PIR,0.0,100
2026-09-05 18:25:10.925 +0900,bed-01,ACCEL_X,1148.0,100
2026-09-05 18:25:10.925 +0900,bed-01,ACCEL_Y,-572.0,100
2026-09-05 18:25:10.925 +0900,bed-01,ACCEL_Z,18172.0,100
2026-09-05 18:25:09.943 +0900,bed-01,FSR0,1053.0,100
2026-09-05 18:25:09.943 +0900,bed-01,FSR1,981.0,100
2026-09-05 18:25:09.943 +0900,bed-01,FSR2,999.0,100
2026-09-05 18:25:09.943 +0900,bed-01,FSR3,1045.0,100
2026-09-05 18:25:09.943 +0900,bed-01,DIST,0.0,100
2026-09-05 18:25:09.943 +0900,bed-01,SW420,0.0,100
2026-09-05 18:25:09.943 +0900,bed-01,BREATH,19.0,100
2026-09-05 18:25:09.943 +0900,bed-01,HEART,71.0,100
2026-09-05 18:25:09.943 +0900,bed-01,PIR,0.0,100
2026-09-05 18:25:09.943 +0900,bed-01,ACCEL_X,1240.0,100
2026-09-05 18:25:09.943 +0900,bed-01,ACCEL_Y,-612.0,100
2026-09-05 18:25:09.943 +0900,bed-01,ACCEL_Z,17996.0,100
2026-09-05 18:25:08.916 +0900,bed-01,FSR0,1050.0,100
2026-09-05 18:25:08.916 +0900,bed-01,FSR1,999.0,100
2026-09-05 18:25:08.916 +0900,bed-01,FSR2,1015.0,100
2026-09-05 18:25:08.916 +0900,bed-01,FSR3,986.0,100
2026-09-05 18:25:08.916 +0900,bed-01,DIST,0.0,100
2026-09-05 18:25:08.916 +0900,bed-01,SW420,0.0,100
2026-09-05 18:25:08.916 +0900,bed-01,BREATH,19.0,100
2026-09-05 18:25:08.916 +0900,bed-01,HEART,71.0,100
2026-09-05 18:25:08.916 +0900,bed-01,PIR,0.0,100
2026-09-05 18:25:08.916 +0900,bed-01,ACCEL_X,1244.0,100
2026-09-05 18:25:08.916 +0900,bed-01,ACCEL_Y,-536.0,100
2026-09-05 18:25:08.916 +0900,bed-01,ACCEL_Z,17864.0,100
2026-09-05 18:25:07.921 +0900,bed-01,FSR0,993.0,100
2026-09-05 18:25:07.921 +0900,bed-01,FSR1,975.0,100
2026-09-05 18:25:07.921 +0900,bed-01,FSR2,965.0,100
2026-09-05 18:25:07.921 +0900,bed-01,FSR3,1003.0,100
2026-09-05 18:25:07.921 +0900,bed-01,DIST,0.0,100
2026-09-05 18:25:07.921 +0900,bed-01,SW420,0.0,100
2026-09-05 18:25:07.921 +0900,bed-01,BREATH,19.0,100
2026-09-05 18:25:07.921 +0900,bed-01,HEART,71.0,100
2026-09-05 18:25:07.921 +0900,bed-01,PIR,1.0,100
2026-09-05 18:25:07.921 +0900,bed-01,ACCEL_X,1256.0,100
2026-09-05 18:25:07.921 +0900,bed-01,ACCEL_Y,-356.0,100
2026-09-05 18:25:07.921 +0900,bed-01,ACCEL_Z,17960.0,100
2026-09-05 18:25:06.904 +0900,bed-01,FSR0,1039.0,100
2026-09-05 18:25:06.904 +0900,bed-01,FSR1,1007.0,100
2026-09-05 18:25:06.904 +0900,bed-01,FSR2,959.0,100
2026-09-05 18:25:06.904 +0900,bed-01,FSR3,1003.0,100
2026-09-05 18:25:06.904 +0900,bed-01,DIST,0.0,100
2026-09-05 18:25:06.904 +0900,bed-01,SW420,0.0,100
2026-09-05 18:25:06.904 +0900,bed-01,BREATH,19.0,100
2026-09-05 18:25:06.904 +0900,bed-01,HEART,71.0,100
2026-09-05 18:25:06.904 +0900,bed-01,PIR,0.0,100
2026-09-05 18:25:06.904 +0900,bed-01,ACCEL_X,1280.0,100
2026-09-05 18:25:06.904 +0900,bed-01,ACCEL_Y,-536.0,100
2026-09-05 18:25:06.904 +0900,bed-01,ACCEL_Z,18112.0,100
2026-09-05 18:25:05.898 +0900,bed-01,FSR0,1005.0,100
2026-09-05 18:25:05.898 +0900,bed-01,FSR1,966.0,100
2026-09-05 18:25:05.898 +0900,bed-01,FSR2,943.0,100
2026-09-05 18:25:05.898 +0900,bed-01,FSR3,1005.0,100
2026-09-05 18:25:05.898 +0900,bed-01,DIST,0.0,100
2026-09-05 18:25:05.898 +0900,bed-01,SW420,0.0,100
2026-09-05 18:25:05.898 +0900,bed-01,BREATH,19.0,100
2026-09-05 18:25:05.898 +0900,bed-01,HEART,71.0,100
2026-09-05 18:25:05.898 +0900,bed-01,PIR,0.0,100
2026-09-05 18:25:05.898 +0900,bed-01,ACCEL_X,1276.0,100
2026-09-05 18:25:05.898 +0900,bed-01,ACCEL_Y,-512.0,100
2026-09-05 18:25:05.898 +0900,bed-01,ACCEL_Z,17940.0,100
2026-09-05 18:25:04.910 +0900,bed-01,FSR0,995.0,100
2026-09-05 18:25:04.910 +0900,bed-01,FSR1,995.0,100
2026-09-05 18:25:04.910 +0900,bed-01,FSR2,995.0,100
2026-09-05 18:25:04.910 +0900,bed-01,FSR3,985.0,100
2026-09-05 18:25:04.910 +0900,bed-01,DIST,0.0,100
2026-09-05 18:25:04.910 +0900,bed-01,SW420,0.0,100
2026-09-05 18:25:04.910 +0900,bed-01,BREATH,19.0,100
2026-09-05 18:25:04.910 +0900,bed-01,HEART,71.0,100
2026-09-05 18:25:04.910 +0900,bed-01,PIR,0.0,100
2026-09-05 18:25:04.910 +0900,bed-01,ACCEL_X,1208.0,100
2026-09-05 18:25:04.910 +0900,bed-01,ACCEL_Y,-560.0,100
2026-09-05 18:25:04.910 +0900,bed-01,ACCEL_Z,18148.0,100
2026-09-05 18:25:03.932 +0900,bed-01,FSR0,1067.0,100
2026-09-05 18:25:03.932 +0900,bed-01,FSR1,967.0,100
2026-09-05 18:25:03.932 +0900,bed-01,FSR2,995.0,100
